1;1257.00;10.35;1931.00;big
1;1411.00;10.32;1938.00;big
2;1120.00;10.03;1466.00;big
2;1355.00;12.57;1390.00;big
3;637.00;10.30;1356.00;big
3;837.00;9.93;1431.00;big
4;604.00;12.00;555.00;big
4;593.00;10.93;730.00;big
5;732.00;11.40;1159.00;big
5;974.00;11.80;1201.00;big
6;1059.00;10.10;179.00;big
6;1148.00;11.80;286.00;big
7;1866.00;10.00;1049.00;big
7;1739.00;12.18;1374.00;big
8;1473.00;11.00;960.00;big
8;1177.00;11.90;1049.00;big
9;1464.00;9.50;847.00;big
9;1316.00;9.50;1022.00;big
10;1321.00;12.28;594.00;big
10;1266.00;10.60;767.00;big
11;1665.00;10.35;560.00;big
11;1784.00;11.73;744.00;big
12;1064.00;11.32;791.00;big
12;1034.00;10.05;636.00;big
13;508.00;9.50;1153.00;big
13;633.00;9.50;1255.00;big
14;638.00;9.50;969.00;big
14;820.00;9.50;786.00;big
15;1696.00;9.50;1476.00;big
15;1781.00;9.50;1200.00;big
16;4828.00;11.60;614.00;big
16;4406.00;10.10;571.00;big
17;4177.00;9.50;1218.00;big
17;4322.00;9.50;838.00;big
18;4037.00;10.57;1249.00;big
18;4348.00;10.03;942.00;big
19;674.00;9.50;1764.00;big
19;2359.00;9.50;1794.00;big
20;4034.00;9.50;1770.00;big
20;5198.00;9.50;1691.00;big
21;396.00;9.50;1243.00;big
21;114.00;9.50;1194.00;big
22;252.00;9.50;543.00;big
22;222.00;9.50;861.00;big
23;2426.00;9.50;1019.00;big
23;3183.00;9.50;1193.00;big
24;3615.00;9.50;1179.00;big
24;3617.00;9.50;1015.00;big
25;3635.00;9.50;381.00;big
25;4413.00;9.50;225.00;big
26;5303.00;9.50;327.00;big
26;5333.00;9.50;955.00;big
27;923.00;9.50;279.00;big
27;2539.00;9.50;265.00;big
28;3881.00;10.32;529.00;big
28;3759.00;10.45;1010.00;big
29;4791.00;9.50;1168.00;big
29;4702.00;10.38;1570.00;big
